"Cell line 1"	"Cell line 2"	"Cell line 3"	"RMSE"	"Correlation"
"GSM1683752"	0.0256223951132201	0.17164246422791	0.802735140658871	704.382379661622	0.509270665227774
"GSM1683753"	0.059409797126758	0.199448010392598	0.741142192480646	757.061840333018	0.564189050334569
"GSM1683754"	0.318454054486196	0.210623393487274	0.47092255202653	699.140039497857	0.464965363727535
"GSM1683756"	0.0497603118424517	-6.62833695303178e-16	0.95023968815755	564.925323888192	0.550519839502237
"GSM1683758"	0.592758523127138	0.0247771428738063	0.382464333999055	585.599668839259	0.681267753494649
"GSM1683764"	0.0705379935173896	0.20857234942152	0.720889657061091	633.39089148607	0.470911320123135
"GSM1683767"	0.233542655394335	0.0807584932375584	0.685698851368106	595.506793427121	0.52537858291657
"GSM1683773"	0.265964579189257	0.171570272651148	0.562465148159595	686.351375446095	0.493805338927638
"GSM1683774"	0.175938119244795	0.0902707017376788	0.733791179017525	663.007256945677	0.50171458508257
"GSM1683775"	0.03372277552149	0.221215135377601	0.745062089100908	714.330101156609	0.461330084001158
"GSM1683777"	0.0321739497454514	-1.49831832905016e-16	0.967826050254549	513.941520097037	0.641012754377228
"GSM1683779"	0.0532218606920681	0.0968283210827757	0.849949818225156	696.958434238699	0.412396510695049
"GSM1683782"	0.022107959087435	0.365598384872702	0.612293656039862	721.582234145623	0.4043072024787
"GSM1683786"	6.2984710999176e-17	0.702565236245053	0.297434763754947	691.46740906666	0.347004753084338
"GSM1683791"	0.0568625106482182	4.53837502946681e-18	0.943137489351781	566.910155791224	0.668621373813679
"GSM1683793"	0.232614022312766	0.096602499566673	0.670783478120563	522.573399987718	0.654857748254844
"GSM1683794"	0.0552183229929653	0.136261407169038	0.808520269837998	778.45396660076	0.425793856043197
"GSM1683797"	0.055832683259941	-5.31426077145971e-17	0.94416731674006	515.751318087319	0.537459286758822
"GSM1683798"	0.0557353451369697	1.78422272883727e-18	0.944264654863031	605.854432934165	0.42842891247383
